l1_group_id,l1_artifact_id,l1_version,l1_release_date,l2_group_id,l2_artifact_id,l2_version,l2_release_date,c1_group_id,c1_artifact_id,c1_version,c1_release_date,c2_group_id,c2_artifact_id,c2_version,c2_release_date
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.wicketstuff,wicketstuff-mootools-meiomask,1.5-RC7,2011-08-29T01:43:28Z[GMT],org.wicketstuff,wicketstuff-mootools-meiomask,1.5.0,2011-09-13T04:14:08Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.wicketstuff,wicketstuff-objectautocomplete,1.5-RC7,2011-08-29T01:45:18Z[GMT],org.wicketstuff,wicketstuff-objectautocomplete,1.5.0,2011-09-13T04:15:58Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.wicketstuff,wicketstuff-openlayers,1.5-RC7,2011-08-29T01:46:18Z[GMT],org.wicketstuff,wicketstuff-openlayers,1.5.0,2011-09-13T04:17Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.wicketstuff,wicketstuff-phonebook,1.5-RC7,2016-08-10T15:08:35Z[GMT],org.wicketstuff,wicketstuff-phonebook,1.5.0,2016-08-10T15:08:35Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.wicketstuff,wicketstuff-security-swarm,1.5-RC7,2011-08-29T02:00:44Z[GMT],org.wicketstuff,wicketstuff-security-swarm,1.5.0,2011-09-13T04:32:53Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.wicketstuff,wicketstuff-security-hive,1.5-RC7,2011-08-29T02:00:16Z[GMT],org.wicketstuff,wicketstuff-security-hive,1.5.0,2011-09-13T04:32:26Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.wicketstuff,wicketstuff-security-wicomsec,1.5-RC7,2011-08-29T01:59:21Z[GMT],org.wicketstuff,wicketstuff-security-wicomsec,1.5.0,2011-09-13T04:31:26Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.apache.wicket,wicket,1.5.0,2011-09-02T15:29:41Z[GMT],org.apache.wicket,wicket,1.5.1,2011-09-25T22:45:53Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.wicketstuff,wicketstuff-yav,1.5-RC7,2011-08-29T02:03:06Z[GMT],org.wicketstuff,wicketstuff-yav,1.5.0,2011-09-13T04:35:11Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],org.wicketstuff,yav-examples,1.5-RC7,2016-08-10T15:08:35Z[GMT],org.wicketstuff,yav-examples,1.5.0,2016-08-10T15:08:35Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],ch.qos.logback,logback-classic,0.9.29,2011-06-09T22:08:46Z[GMT],ch.qos.logback,logback-classic,0.9.30,2011-09-20T22:21:45Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],ro.isdc.wro4j,wro4j-core,1.4.0,2011-08-26T16:39:41Z[GMT],ro.isdc.wro4j,wro4j-core,1.4.1,2011-09-18T08:43:29Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],ro.isdc.wro4j,wro4j-maven-plugin,1.3.8,2011-06-22T16:36Z[GMT],ro.isdc.wro4j,wro4j-maven-plugin,1.4.1,2011-09-18T08:44:34Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],ro.isdc.wro4j,wro4j-parent,1.4.0,2016-08-10T15:08:35Z[GMT],ro.isdc.wro4j,wro4j-parent,1.4.1,2016-08-10T15:08:35Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],ru.frostman.web,webjavin-indigo,0.1.2,2011-08-18T13:15:40Z[GMT],ru.frostman.web,webjavin-indigo,0.2,2011-09-01T11:28:16Z[GMT]
org.slf4j,slf4j-api,1.6.1,2010-07-05T20:29:21Z[GMT],org.slf4j,slf4j-api,1.6.2,2011-08-18T22:13:03Z[GMT],ru.frostman.web,webjavin-mongo,0.1.2,2011-08-18T13:15:28Z[GMT],ru.frostman.web,webjavin-mongo,0.2,2011-09-01T11:27:57Z[GMT]
