,c1_group_id,c1_artifact_id,c1_version,c2_version
6730,ch.qos.logback,logback-classic,1.0.11,1.0.12
6934,com.github.dblock.waffle,waffle-jna,1.7.1,1.7.3
6971,org.daisy.libs,com.xmlcalabash,1.0.23,1.1.9-p1-95
7081,org.springframework.data,spring-data-rest-webmvc,2.2.1.RELEASE,2.2.2.RELEASE
7394,org.springframework.data,spring-data-rest-webmvc,2.2.1.RELEASE,2.2.2.RELEASE
7399,com.github.dblock.waffle,waffle-jna,1.7.1,1.7.3
7419,ch.qos.logback,logback-classic,1.1.2,1.1.3
7470,org.apache.mina,mina-core,2.0.9,2.0.10
7511,ch.qos.logback,logback-classic,1.1.3,1.1.4
8081,ch.qos.logback,logback-classic,0.9.30,1.0.0
8094,ch.qos.logback,logback-classic,0.9.30,1.0.0
8101,com.ning,async-http-client,1.7.6,1.7.7
8535,org.apache.mina,mina-core,2.0.9,2.0.10
9047,org.apache.mina,mina-core,2.0.9,2.0.10
9075,org.apache.santuario,xmlsec,2.0.5,2.0.6
9210,ch.qos.logback,logback-classic,1.1.3,1.1.4
10259,ch.qos.logback,logback-classic,1.1.1,1.1.2
10260,ch.qos.logback,logback-classic,1.1.2,1.1.3
10261,io.dropwizard.metrics,metrics-core,3.1.0,3.1.1
10263,ch.qos.logback,logback-classic,1.1.1,1.1.2
10359,ch.qos.logback,logback-classic,1.1.1,1.1.2
10360,ch.qos.logback,logback-classic,1.1.2,1.1.3
10706,ch.qos.logback,logback-classic,1.1.2,1.1.3
10711,org.apache.santuario,xmlsec,2.0.5,2.0.6
